id;start_date;end_date;language
1;2020-11-12T15:48:10;2020-11-12T13:38:25;SPANISH
2;2020-11-11T20:38:21;2020-11-12T15:42:46;SPANISH
3;2020-11-12T11:33:40;2020-11-11T22:07:49;FRENCH
4;2020-11-12T02:51:11;2020-11-12T14:22:37;FRENCH
5;2020-11-12T12:21:29;2020-11-12T17:08:28;FRENCH
6;2020-11-12T06:13:50;2020-11-12T18:22:04;FRENCH
7;2020-11-12T07:59:10;2020-11-12T01:50:01;FRENCH
8;2020-11-12T06:55:23;2020-11-12T17:11:31;SPANISH
9;2020-11-12T05:36:32;2020-11-12T02:17:55;SPANISH
10;2020-11-12T13:48:36;2020-11-12T00:23:06;SPANISH
